ORIG_TERMINAL_ID,ORIG_DEPT,DEST_TERMINAL_ID,DEST_DEPT,MODE,IMP_EXP_IND,GL_DATE,TRANSPORT_DATE,WB_DATE,ETD,ATD,ETA,ATA,SHIP_TYPE,SERVICE_TYPE,SHIPPER_CODE,SHIPPER_PARENT_ID,SHIPPER_NAME,SHIPPER_INDUSTRY_CODE,SHIPPER_PARENT_NAME,CNEE_CODE,CNEE_PARENT_ID,CNEE_NAME,CNEE_INDUSTRY_CODE,CNEE_PARENT_NAME,CARRIER,FLIGHT_NO,VESSEL_NAME,PORT_LOADING,ORIG_IATA_TC_CODE,ORIG_COUNTRY_CODE,PORT_UNLOADING,DEST_IATA_TC_CODE,DEST_COUNTRY_CODE,CREATED_BY,NUM_PIECES,TEU,CHARGEABLE_WEIGHT,VOLUME_WEIGHT,ACTUAL_WEIGHT,TOTAL_VOLUME,SALESMAN,CONTROLLING_CODE,CONTROLLING_NAME,is_delayed,departure_delay_hours,planned_transit_hours,month,day_of_week
5200,300,6501,1,O,I,,2025-12-08,2025-12-27,2025-12-02,2026-01-12,2026-01-07,2025-12-22,HOUSE,FCL,302537367,302422007.0,RECKITT BENCKISER ENA B.V. C/O  ZOBELE ASIA PACIFIC (HONG KONG),,ZOBELE ASIA PACIFIC (HONG KONG) LIMITED (FOR RECKITT BENCKISER),202309530,302422007.0,SOAP & CHEMICALS INDUSTRIAL & TRADING,,SOAPS & CHEMICALS INDUSTRIAL & TRADING CO(RECKITT BENCKISER ONLY),EGLV,1703-082W,EVER LOGIC,CNSHK,TC3,HK,AEJEA,TC2,AE,sdsouz6501,46,5.66,330.42,73.8,16396.9,1.1,,202309530,SOAPS & CHEMICALS INDUSTRIAL & TRADING CO(RECKITT BENCKISER ONLY),0,984.0,864.0,12,0
8801,3211,6501,1,A,I,,2026-01-07,2025-12-15,2026-01-28,2026-01-24,2026-01-16,2025-12-18,HOUSE,FCL,302115978,10048597.0,BOSCH (CHINA) INVESTMENT LTD.,56-Imaging Machine/Copying Machine,BOSCH (CHINA) INVESTMENT LTD.,302348024,,SCHENKER LLC,,SCHENKER LLC,PCIU,0011W,KOTA PLUMBAGO,CNSHA,TC3,CN,AEJEA,TC2,AE,aulang6501,41,0.6,403.46,89.655,17680.36,37.72,,302348024,SCHENKER LLC,0,-96.0,-288.0,1,2
8801,3211,6501,1,A,I,,2025-12-08,2026-01-01,2026-01-02,2026-01-06,2025-12-26,2025-12-03,HOUSE,FCL,302115978,10048597.0,BOSCH (CHINA) INVESTMENT LTD.,56-Imaging Machine/Copying Machine,BOSCH (CHINA) INVESTMENT LTD.,302348024,,SCHENKER LLC,,SCHENKER LLC,12WW,008W,VARANYA BHUM,CNSHA,TC3,CN,AEJEA,TC2,AE,aulang6501,23,1.59,433.28,42.04,12977.32,56.1,,302348024,SCHENKER LLC,0,96.0,-168.0,12,0
5200,300,6501,1,O,I,,2026-01-28,2026-01-22,2026-01-11,2026-01-09,2026-01-03,2026-01-08,HOUSE,LCL,302537367,302422007.0,RECKITT BENCKISER ENA B.V. C/O  ZOBELE ASIA PACIFIC (HONG KONG),,ZOBELE ASIA PACIFIC (HONG KONG) LIMITED (FOR RECKITT BENCKISER),202309530,302422007.0,SOAP & CHEMICALS INDUSTRIAL & TRADING,,SOAPS & CHEMICALS INDUSTRIAL & TRADING CO(RECKITT BENCKISER ONLY),EGLV,1703-082W,EVER LOGIC,CNSHK,TC3,HK,AEJEA,TC2,AE,sdsouz6501,30,2.08,314.04,73.8,1330.29,49.48,,202309530,SOAPS & CHEMICALS INDUSTRIAL & TRADING CO(RECKITT BENCKISER ONLY),1,-48.0,-192.0,1,2
8801,3211,6501,1,A,I,,2025-12-26,2025-12-12,2026-01-13,2025-12-30,2026-01-09,2026-01-29,HOUSE,LCL,302115978,10048597.0,BOSCH (CHINA) INVESTMENT LTD.,56-Imaging Machine/Copying Machine,BOSCH (CHINA) INVESTMENT LTD.,302348024,,SCHENKER LLC,,SCHENKER LLC,PCIU,0011W,KOTA PLUMBAGO,CNSHA,TC3,CN,AEJEA,TC2,AE,aulang6501,7,6.02,85.94,89.655,18728.99,71.75,,302348024,SCHENKER LLC,1,-336.0,-96.0,12,4
8801,3211,6501,1,O,I,,2025-12-17,2025-12-07,2025-12-30,2026-01-16,2026-01-11,2026-01-25,HOUSE,FCL,302115978,10048597.0,BOSCH (CHINA) INVESTMENT LTD.,56-Imaging Machine/Copying Machine,BOSCH (CHINA) INVESTMENT LTD.,302348024,,SCHENKER LLC,,SCHENKER LLC,12WW,008W,VARANYA BHUM,CNSHA,TC3,CN,AEJEA,TC2,AE,aulang6501,3,2.44,179.0,89.977,2651.94,76.81,,302348024,SCHENKER LLC,1,408.0,288.0,12,2
8801,3211,6501,1,O,I,,2026-01-19,2026-01-25,2026-01-29,2026-01-15,2026-01-03,2026-01-09,HOUSE,FCL,302115978,10048597.0,BOSCH (CHINA) INVESTMENT LTD.,56-Imaging Machine/Copying Machine,BOSCH (CHINA) INVESTMENT LTD.,302348024,,SCHENKER LLC,,SCHENKER LLC,12WW,0011W,KOTA PLUMBAGO,CNSHA,TC3,CN,AEJEA,TC2,AE,aulang6501,98,1.42,53.55,35.86,15579.2,88.92,,302348024,SCHENKER LLC,1,-336.0,-624.0,1,0
8801,3211,6501,1,O,I,,2025-12-07,2025-12-02,2025-12-20,2026-01-23,2026-01-21,2026-01-11,HOUSE,LCL,302115978,10048597.0,BOSCH (CHINA) INVESTMENT LTD.,56-Imaging Machine/Copying Machine,BOSCH (CHINA) INVESTMENT LTD.,302348024,,SCHENKER LLC,,SCHENKER LLC,12WW,008W,VARANYA BHUM,CNSHA,TC3,CN,AEJEA,TC2,AE,aulang6501,12,9.82,474.38,89.977,14462.74,5.17,,302348024,SCHENKER LLC,0,816.0,768.0,12,6
8601,3211,6501,1,O,I,,2025-12-07,2026-01-21,2026-01-04,2026-01-13,2026-01-23,2026-01-02,HOUSE,LCL,8028181,,"HONDA MOTORCYCLE(SHANGHAI) CO.,LTD.",,"HONDA MOTORCYCLE (SHANGHAI) CO.,LTD.",302269656,302164078.0,HONDA GULF FZE,,HONDA GULF FZE,ECUI,937W,NORTHERN GUARD,CNSHK,TC3,CN,AEJEA,TC2,AE,prguru6501,48,3.12,195.54,1.868,5278.65,37.71,,302269656,HONDA GULF FZE,0,216.0,456.0,12,6
8801,3211,6501,1,A,I,,2025-12-10,2025-12-16,2025-12-29,2025-12-31,2026-01-04,2026-01-12,HOUSE,FCL,302115978,10048597.0,BOSCH (CHINA) INVESTMENT LTD.,56-Imaging Machine/Copying Machine,BOSCH (CHINA) INVESTMENT LTD.,302348024,,SCHENKER LLC,,SCHENKER LLC,7ESL,02552W,ESL WASL,CNSHA,TC3,CN,AEJEA,TC2,AE,aulang6501,9,3.1,190.14,76.505,11570.43,81.84,,302348024,SCHENKER LLC,1,48.0,144.0,12,2
8811,3211,6501,1,O,I,,2025-12-04,2025-12-27,2025-12-24,2026-01-07,2025-12-06,2025-12-06,HOUSE,LCL,302521817,302422007.0,"QINGDAO LONDON DUREX CO.,LTD.",31-Retailing,"QINGDAO LONDON DUREX CO.,LTD.",202318761,302422007.0,RECKITT BENCKISER ARABIA FZE,,RECKITT BENCKISER ARABIA FZE,HDMU,0022W,HMM RAON,CNTAO,TC3,CN,AEJEA,TC2,AE,sdsouz6501,15,0.46,104.71,25.0,12177.86,1.18,,202318761,RECKITT BENCKISER ARABIA FZE,0,336.0,-432.0,12,3
5200,300,6501,1,O,I,,2025-12-27,2026-01-09,2025-12-02,2025-12-21,2026-01-23,2026-01-01,HOUSE,FCL,302537367,302422007.0,RECKITT BENCKISER ENA B.V. C/O  ZOBELE ASIA PACIFIC (HONG KONG),,ZOBELE ASIA PACIFIC (HONG KONG) LIMITED (FOR RECKITT BENCKISER),202309530,302422007.0,SOAP & CHEMICALS INDUSTRIAL & TRADING,,SOAPS & CHEMICALS INDUSTRIAL & TRADING CO(RECKITT BENCKISER ONLY),EGLV,1703-082W,EVER LOGIC,CNSHK,TC3,HK,AEJEA,TC2,AE,sdsouz6501,33,5.81,359.74,73.8,4379.13,25.94,,202309530,SOAPS & CHEMICALS INDUSTRIAL & TRADING CO(RECKITT BENCKISER ONLY),0,456.0,1248.0,12,5
5304,4100,6501,1,O,I,,2025-12-27,2026-01-08,2025-12-01,2026-01-30,2026-01-30,2026-01-24,HOUSE,FCL,302480912,,JOLLY BOARD PRIVATE LIMITED,89-Others_General merchandise,JOLLY BOARD PRIVATE LIMITED,6027720,,EMIRATES SPECIALITIES CO.(L.L.C.),,EMIRATES SPECIALITIES CO.(L.L.C.),MEDU,IU549R,MSC YOKOHAMA,INNSA,TC3,IN,AEJEA,TC2,AE,prguru6501,18,1.23,368.7,200.0,3865.01,42.73,,302480912,JOLLY BOARD PRIVATE LIMITED,0,1440.0,1440.0,12,5
5304,4100,6501,1,O,I,,2026-01-03,2026-01-27,2025-12-25,2026-01-02,2026-01-30,2025-12-09,HOUSE,FCL,302480912,,JOLLY BOARD PRIVATE LIMITED,89-Others_General merchandise,JOLLY BOARD PRIVATE LIMITED,6027720,,EMIRATES SPECIALITIES CO.(L.L.C.),,EMIRATES SPECIALITIES CO.(L.L.C.),MEDU,IU549R,MSC YOKOHAMA,INNSA,TC3,IN,AEJEA,TC2,AE,prguru6501,10,5.07,448.65,200.0,8139.88,70.98,,302480912,JOLLY BOARD PRIVATE LIMITED,0,192.0,864.0,1,5
5304,4100,6501,1,A,I,,2026-01-05,2026-01-26,2025-12-21,2026-01-11,2026-01-11,2026-01-01,HOUSE,FCL,302480912,,JOLLY BOARD PRIVATE LIMITED,89-Others_General merchandise,JOLLY BOARD PRIVATE LIMITED,6027720,,EMIRATES SPECIALITIES CO.(L.L.C.),,EMIRATES SPECIALITIES CO.(L.L.C.),MEDU,IU549R,MSC YOKOHAMA,INNSA,TC3,IN,AEJEA,TC2,AE,prguru6501,57,3.04,184.93,200.0,3910.13,12.63,,302480912,JOLLY BOARD PRIVATE LIMITED,0,504.0,504.0,1,0
8801,3211,6501,1,A,I,,2026-01-04,2026-01-27,2026-01-21,2026-01-05,2026-01-01,2026-01-06,HOUSE,FCL,302115978,10048597.0,BOSCH (CHINA) INVESTMENT LTD.,56-Imaging Machine/Copying Machine,BOSCH (CHINA) INVESTMENT LTD.,302348024,,SCHENKER LLC,,SCHENKER LLC,12WW,0011W,KOTA PLUMBAGO,CNSHA,TC3,CN,AEJEA,TC2,AE,aulang6501,83,9.65,392.17,35.86,4840.35,51.57,,302348024,SCHENKER LLC,1,-384.0,-480.0,1,6
8601,3211,6501,1,A,I,,2026-01-08,2025-12-11,2025-12-02,2026-01-04,2026-01-18,2026-01-26,HOUSE,FCL,8028181,,"HONDA MOTORCYCLE(SHANGHAI) CO.,LTD.",,"HONDA MOTORCYCLE (SHANGHAI) CO.,LTD.",302269656,302164078.0,HONDA GULF FZE,,HONDA GULF FZE,ECUI,937W,NORTHERN GUARD,CNSHK,TC3,CN,AEJEA,TC2,AE,prguru6501,66,9.93,91.78,1.868,10684.45,96.12,,302269656,HONDA GULF FZE,1,792.0,1128.0,1,3
8811,3211,6501,1,A,I,,2025-12-19,2025-12-01,2026-01-19,2025-12-30,2025-12-17,2025-12-18,HOUSE,FCL,302521817,302422007.0,"QINGDAO LONDON DUREX CO.,LTD.",31-Retailing,"QINGDAO LONDON DUREX CO.,LTD.",202318761,302422007.0,RECKITT BENCKISER ARABIA FZE,,RECKITT BENCKISER ARABIA FZE,HDMU,0022W,HMM RAON,CNTAO,TC3,CN,AEJEA,TC2,AE,sdsouz6501,37,4.8,322.52,25.0,10847.18,53.13,,202318761,RECKITT BENCKISER ARABIA FZE,1,-480.0,-792.0,12,4
5200,300,6501,1,A,I,,2026-01-02,2026-01-20,2025-12-03,2025-12-30,2025-12-22,2026-01-22,HOUSE,FCL,302537367,302422007.0,RECKITT BENCKISER ENA B.V. C/O  ZOBELE ASIA PACIFIC (HONG KONG),,ZOBELE ASIA PACIFIC (HONG KONG) LIMITED (FOR RECKITT BENCKISER),202309530,302422007.0,SOAP & CHEMICALS INDUSTRIAL & TRADING,,SOAPS & CHEMICALS INDUSTRIAL & TRADING CO(RECKITT BENCKISER ONLY),EGLV,1703-082W,EVER LOGIC,CNSHK,TC3,HK,AEJEA,TC2,AE,sdsouz6501,41,9.13,128.05,73.8,16237.63,9.12,,202309530,SOAPS & CHEMICALS INDUSTRIAL & TRADING CO(RECKITT BENCKISER ONLY),1,648.0,456.0,1,4
5304,4100,6501,1,A,I,,2025-12-01,2026-01-12,2026-01-01,2026-01-04,2026-01-09,2025-12-15,HOUSE,LCL,302480912,,JOLLY BOARD PRIVATE LIMITED,89-Others_General merchandise,JOLLY BOARD PRIVATE LIMITED,6027720,,EMIRATES SPECIALITIES CO.(L.L.C.),,EMIRATES SPECIALITIES CO.(L.L.C.),MEDU,IU549R,MSC YOKOHAMA,INNSA,TC3,IN,AEJEA,TC2,AE,prguru6501,7,7.72,298.69,200.0,14135.62,81.59,,302480912,JOLLY BOARD PRIVATE LIMITED,0,72.0,192.0,12,0
5304,4100,6501,1,A,I,,2026-01-28,2026-01-07,2025-12-21,2025-12-12,2026-01-26,2026-01-23,HOUSE,FCL,302480912,,JOLLY BOARD PRIVATE LIMITED,89-Others_General merchandise,JOLLY BOARD PRIVATE LIMITED,6027720,,EMIRATES SPECIALITIES CO.(L.L.C.),,EMIRATES SPECIALITIES CO.(L.L.C.),MEDU,IU549R,MSC YOKOHAMA,INNSA,TC3,IN,AEJEA,TC2,AE,prguru6501,74,5.16,37.09,200.0,15662.5,43.76,,302480912,JOLLY BOARD PRIVATE LIMITED,0,-216.0,864.0,1,2
8801,3211,6501,1,A,I,,2026-01-28,2026-01-15,2025-12-12,2026-01-25,2026-01-18,2026-01-12,HOUSE,LCL,302115978,10048597.0,BOSCH (CHINA) INVESTMENT LTD.,56-Imaging Machine/Copying Machine,BOSCH (CHINA) INVESTMENT LTD.,302348024,,SCHENKER LLC,,SCHENKER LLC,12WW,0011W,KOTA PLUMBAGO,CNSHA,TC3,CN,AEJEA,TC2,AE,aulang6501,33,3.18,164.47,35.86,87.99,48.05,,302348024,SCHENKER LLC,0,1056.0,888.0,1,2
6051,300,6501,1,A,I,,2026-01-07,2026-01-03,2025-12-29,2025-12-15,2026-01-10,2025-12-05,HOUSE,FCL,302269256,302267969.0,HEWLETT-PACKARD SINGAPORE (PRIVATE),51-Computers,HP SINGAPORE (PRIVATE) LIMITED,202321532,302267969.0,HP EUROPE BV,,HP EUROPE BV,EGLV,182W,ITAL UNIVERSO,THLCH,TC3,TH,AEJEA,TC2,AE,prguru6501,19,7.58,11.38,49.41,16934.56,34.16,,302339745,HP INTERNATIONAL SARL,0,-336.0,288.0,1,2
5200,300,6501,1,O,I,,2026-01-11,2025-12-23,2025-12-25,2025-12-13,2026-01-28,2025-12-28,HOUSE,FCL,302537367,302422007.0,RECKITT BENCKISER ENA B.V. C/O  ZOBELE ASIA PACIFIC (HONG KONG),,ZOBELE ASIA PACIFIC (HONG KONG) LIMITED (FOR RECKITT BENCKISER),202309530,302422007.0,SOAP & CHEMICALS INDUSTRIAL & TRADING,,SOAPS & CHEMICALS INDUSTRIAL & TRADING CO(RECKITT BENCKISER ONLY),EGLV,1703-082W,EVER LOGIC,CNSHK,TC3,HK,AEJEA,TC2,AE,sdsouz6501,77,6.1,337.73,73.8,5773.74,59.13,,202309530,SOAPS & CHEMICALS INDUSTRIAL & TRADING CO(RECKITT BENCKISER ONLY),0,-288.0,816.0,1,6
8811,3211,6501,1,O,I,,2025-12-07,2025-12-26,2026-01-11,2026-01-15,2026-01-23,2026-01-19,HOUSE,LCL,302521817,302422007.0,"QINGDAO LONDON DUREX CO.,LTD.",31-Retailing,"QINGDAO LONDON DUREX CO.,LTD.",202318761,302422007.0,RECKITT BENCKISER ARABIA FZE,,RECKITT BENCKISER ARABIA FZE,HDMU,0022W,HMM RAON,CNTAO,TC3,CN,AEJEA,TC2,AE,sdsouz6501,70,6.22,210.65,25.0,12648.25,54.07,,202318761,RECKITT BENCKISER ARABIA FZE,0,96.0,288.0,12,6
5304,4100,6501,1,A,I,,2025-12-22,2026-01-28,2025-12-20,2025-12-04,2025-12-01,2026-01-30,HOUSE,LCL,302480912,,JOLLY BOARD PRIVATE LIMITED,89-Others_General merchandise,JOLLY BOARD PRIVATE LIMITED,6027720,,EMIRATES SPECIALITIES CO.(L.L.C.),,EMIRATES SPECIALITIES CO.(L.L.C.),MEDU,IU549R,MSC YOKOHAMA,INNSA,TC3,IN,AEJEA,TC2,AE,prguru6501,95,3.03,477.84,200.0,18270.04,30.61,,302480912,JOLLY BOARD PRIVATE LIMITED,1,-384.0,-456.0,12,0
8801,3211,6501,1,A,I,,2026-01-10,2026-01-05,2025-12-30,2025-12-26,2026-01-09,2026-01-12,HOUSE,FCL,302115978,10048597.0,BOSCH (CHINA) INVESTMENT LTD.,56-Imaging Machine/Copying Machine,BOSCH (CHINA) INVESTMENT LTD.,302348024,,SCHENKER LLC,,SCHENKER LLC,12WW,0011W,KOTA PLUMBAGO,CNSHA,TC3,CN,AEJEA,TC2,AE,aulang6501,4,5.31,226.56,35.86,5252.17,26.62,,302348024,SCHENKER LLC,1,-96.0,240.0,1,5
8801,3211,6501,1,O,I,,2025-12-20,2025-12-04,2026-01-11,2025-12-27,2026-01-08,2026-01-02,HOUSE,FCL,302115978,10048597.0,BOSCH (CHINA) INVESTMENT LTD.,56-Imaging Machine/Copying Machine,BOSCH (CHINA) INVESTMENT LTD.,302348024,,SCHENKER LLC,,SCHENKER LLC,12WW,008W,VARANYA BHUM,CNSHA,TC3,CN,AEJEA,TC2,AE,aulang6501,71,4.18,413.25,42.04,2889.17,37.08,,302348024,SCHENKER LLC,0,-360.0,-72.0,12,5
8601,3211,6501,1,A,I,,2025-12-19,2025-12-26,2026-01-22,2026-01-15,2025-12-05,2026-01-21,HOUSE,LCL,8028181,,"HONDA MOTORCYCLE(SHANGHAI) CO.,LTD.",,"HONDA MOTORCYCLE (SHANGHAI) CO.,LTD.",302269656,302164078.0,HONDA GULF FZE,,HONDA GULF FZE,ECUI,937W,NORTHERN GUARD,CNSHK,TC3,CN,AEJEA,TC2,AE,prguru6501,9,9.15,476.81,1.868,18126.13,57.76,,302269656,HONDA GULF FZE,1,-168.0,-1152.0,12,4
8801,3211,6501,1,O,I,,2025-12-30,2026-01-28,2025-12-29,2026-01-22,2025-12-28,2026-01-23,HOUSE,LCL,302115978,10048597.0,BOSCH (CHINA) INVESTMENT LTD.,56-Imaging Machine/Copying Machine,BOSCH (CHINA) INVESTMENT LTD.,302348024,,SCHENKER LLC,,SCHENKER LLC,PCIU,0011W,KOTA PLUMBAGO,CNSHA,TC3,CN,AEJEA,TC2,AE,aulang6501,56,2.12,392.72,89.655,18121.3,84.24,,302348024,SCHENKER LLC,1,576.0,-24.0,12,1
8801,3211,6501,1,A,I,,2026-01-22,2026-01-22,2026-01-22,2025-12-02,2025-12-08,2025-12-25,HOUSE,FCL,302115978,10048597.0,BOSCH (CHINA) INVESTMENT LTD.,56-Imaging Machine/Copying Machine,BOSCH (CHINA) INVESTMENT LTD.,302348024,,SCHENKER LLC,,SCHENKER LLC,PCIU,0011W,KOTA PLUMBAGO,CNSHA,TC3,CN,AEJEA,TC2,AE,aulang6501,51,5.26,49.85,89.655,17416.38,99.02,,302348024,SCHENKER LLC,1,-1224.0,-1080.0,1,3
8801,3211,6501,1,A,I,,2025-12-31,2025-12-06,2026-01-14,2025-12-10,2025-12-28,2025-12-06,HOUSE,LCL,302115978,10048597.0,BOSCH (CHINA) INVESTMENT LTD.,56-Imaging Machine/Copying Machine,BOSCH (CHINA) INVESTMENT LTD.,302348024,,SCHENKER LLC,,SCHENKER LLC,12WW,008W,VARANYA BHUM,CNSHA,TC3,CN,AEJEA,TC2,AE,aulang6501,29,1.33,195.05,89.977,17224.84,56.02,,302348024,SCHENKER LLC,0,-840.0,-408.0,12,2
5304,4100,6501,1,O,I,,2026-01-11,2026-01-05,2026-01-25,2025-12-26,2026-01-04,2026-01-22,HOUSE,FCL,302480912,,JOLLY BOARD PRIVATE LIMITED,89-Others_General merchandise,JOLLY BOARD PRIVATE LIMITED,6027720,,EMIRATES SPECIALITIES CO.(L.L.C.),,EMIRATES SPECIALITIES CO.(L.L.C.),MEDU,IU549R,MSC YOKOHAMA,INNSA,TC3,IN,AEJEA,TC2,AE,prguru6501,11,2.02,284.35,200.0,11276.13,67.85,,302480912,JOLLY BOARD PRIVATE LIMITED,1,-720.0,-504.0,1,6
